cell_id,z,y,x,CD31,CD20,CD11b,CD4,CD11c,Catalase,marker
CD20_277,99,231,913,0.3481,0.5322,0.3693,0.3532,0.4719,0.503,CD20
CD20_278,98,278,702,0.3367,0.4493,0.332,0.3616,0.3619,0.3769,CD20
CD20_279,101,579,133,0.3831,0.4942,0.2817,0.3134,0.3025,0.4018,CD20
CD20_28,71,391,999,0.3074,0.4107,0.2069,0.3709,0.4327,0.3278,CD20
CD20_280,99,587,327,0.3512,0.4406,0.2383,0.3528,0.3101,0.3787,CD20
CD20_281,109,605,79,0.3655,0.3536,0.1642,0.1897,0.2752,0.2727,CD20
CD20_282,102,677,460,0.3871,0.506,0.3775,0.389,0.4865,0.3293,CD20
CD20_283,101,199,939,0.3269,0.5519,0.3208,0.3985,0.4057,0.3149,CD20
CD20_284,99,248,642,0.3995,0.4801,0.2625,0.2893,0.3889,0.5273,CD20
CD20_285,103,537,396,0.5027,0.3983,0.3278,0.3885,0.4573,0.7549,CD20
CD20_286,99,566,317,0.3653,0.3243,0.3369,0.3347,0.3292,0.5479,CD20
CD20_287,116,615,115,0.2927,0.3886,0.2131,0.2779,0.2943,0.2531,CD20
CD20_288,99,636,292,0.4222,0.581,0.2946,0.4357,0.4288,0.4614,CD20
CD20_289,107,181,1135,0.3213,0.4018,0.2356,0.4102,0.2792,0.3553,CD20
CD20_29,69,133,1174,0.3111,0.4253,0.4011,0.3133,0.3751,0.4433,CD20
CD20_290,101,234,893,0.4314,0.579,0.4337,0.6496,0.3562,0.5692,CD20
CD20_291,103,362,757,0.4104,0.4786,0.2494,0.2971,0.3962,0.4229,CD20
CD20_292,102,371,631,0.3363,0.3498,0.2502,0.333,0.3449,0.332,CD20
CD20_293,102,464,362,0.4498,0.9884,0.4244,1.0,0.5693,0.4711,CD20
CD20_294,107,503,368,0.2925,0.3503,0.3081,0.2593,0.2894,0.2636,CD20
CD20_295,104,532,385,0.4968,0.4531,0.3053,0.4006,0.3585,0.5453,CD20
CD20_296,102,163,1113,0.4737,0.5775,0.3373,0.3482,0.3496,0.3886,CD20
CD20_297,103,199,1156,0.3392,0.5339,0.3519,0.2472,0.2938,0.479,CD20
CD20_298,101,249,1033,0.3645,0.4853,0.3435,0.4219,0.3569,0.4231,CD20
CD20_299,106,254,1099,0.3356,0.3962,0.2557,0.2825,0.2339,0.2972,CD20
CD20_3,56,229,1320,0.2783,0.4554,0.2799,0.2516,0.2575,0.32,CD20
CD20_30,67,194,1207,0.3662,0.6651,0.3173,0.4189,0.4374,0.4631,CD20
CD20_300,107,338,740,0.4101,0.4536,0.242,0.2617,0.3907,0.5442,CD20
CD20_301,101,372,571,0.3617,0.5183,0.2962,0.2974,0.3282,0.3675,CD20
CD20_302,109,542,318,0.2393,0.3767,0.2296,0.2877,0.3032,0.2786,CD20
CD20_303,105,546,289,0.3384,0.5206,0.3191,0.3242,0.3373,0.3567,CD20
CD20_304,105,553,365,0.4134,0.4785,0.2912,0.3672,0.3457,0.4773,CD20
CD20_305,109,555,113,0.2748,0.3613,0.2096,0.2217,0.2644,0.2654,CD20
CD20_306,109,624,158,0.3159,0.3581,0.1884,0.3051,0.282,0.2947,CD20
CD20_307,101,664,32,0.3572,0.5045,0.3165,0.3815,0.3255,0.4237,CD20
CD20_308,102,173,1049,0.3095,0.4711,0.2396,0.3252,0.3313,0.3066,CD20
CD20_309,104,238,933,0.3753,0.5677,0.3375,0.3806,0.3914,0.4819,CD20
CD20_31,69,115,1275,0.325,0.5425,0.2952,0.4358,0.2913,0.3868,CD20
CD20_310,105,266,789,0.3378,0.3977,0.5577,0.3733,0.3337,0.4015,CD20
CD20_311,102,328,823,0.3661,0.4105,0.2785,0.2732,0.3481,0.4637,CD20
CD20_312,102,513,320,0.3213,0.4732,0.4385,0.4594,0.388,0.5158,CD20
CD20_313,105,549,278,0.2818,0.3548,0.2827,0.2901,0.3129,0.2241,CD20
CD20_314,104,586,143,0.3695,0.3989,0.299,0.4039,0.3644,0.3486,CD20
CD20_315,103,661,209,0.4128,0.454,0.4021,0.3793,0.4207,0.4931,CD20
CD20_316,105,674,91,0.3221,0.4856,0.2106,0.2831,0.3452,0.3055,CD20
CD20_317,105,198,1013,0.4352,0.4786,0.2807,0.3413,0.3246,0.4759,CD20
CD20_318,104,342,698,0.3606,0.4895,0.3076,0.3826,0.3406,0.4103,CD20
CD20_319,104,439,456,0.3649,0.3583,0.381,0.2836,0.4018,0.2837,CD20
CD20_32,73,199,748,0.3168,0.4383,0.1889,0.3069,0.291,0.2975,CD20
CD20_320,105,555,359,0.3829,0.4625,0.3041,0.3603,0.2898,0.5096,CD20
CD20_321,106,147,1230,0.3971,0.5901,0.3565,0.3037,0.4239,0.4256,CD20
CD20_322,109,251,1031,0.3128,0.4463,0.2244,0.3695,0.3621,0.4929,CD20
CD20_323,105,368,573,0.4683,0.3766,0.2775,0.3648,0.3548,0.3278,CD20
CD20_324,105,543,259,0.4824,0.5016,0.3399,0.4114,0.3889,0.4173,CD20
CD20_325,107,115,1243,0.3458,0.5019,0.3229,0.4116,0.3308,0.431,CD20
CD20_326,106,239,1024,0.3586,0.523,0.2468,0.2597,0.2988,0.3357,CD20
CD20_327,107,281,758,0.353,0.512,0.3546,0.3073,0.3285,0.4626,CD20
CD20_328,106,317,887,0.3738,0.3966,0.3679,0.2909,0.4595,0.5224,CD20
CD20_329,111,333,718,0.3233,0.4371,0.1608,0.3465,0.3176,0.3451,CD20
CD20_33,77,200,1201,0.3046,0.3501,0.2428,0.2891,0.3365,0.3161,CD20
CD20_330,110,476,372,0.335,0.332,0.3047,0.284,0.3023,0.3012,CD20
CD20_331,108,296,709,0.3711,0.4913,0.2936,0.3312,0.4429,0.4932,CD20
CD20_332,106,515,318,0.5114,0.3988,0.4198,0.4432,0.4348,0.4267,CD20
CD20_333,112,651,142,0.273,0.4176,0.2678,0.3035,0.4185,0.3641,CD20
CD20_334,107,154,1231,0.3893,0.366,0.3707,0.3476,0.3545,0.3408,CD20
CD20_335,111,269,784,0.4449,0.3465,0.4834,0.2934,0.2876,0.4744,CD20
CD20_336,112,312,722,0.3567,0.3334,0.2848,0.2554,0.3035,0.3359,CD20
CD20_337,112,520,381,0.3152,0.3998,0.3134,0.3447,0.3532,0.4635,CD20
CD20_338,111,204,1150,0.3217,0.4217,0.2815,0.2639,0.2562,0.4335,CD20
CD20_339,110,271,673,0.34,0.4551,0.2117,0.3648,0.2808,0.5209,CD20
CD20_34,75,216,1351,0.2912,0.2949,0.2361,0.253,0.2686,0.5704,CD20
CD20_340,108,311,714,0.5316,0.5245,0.2828,0.3453,0.3607,0.3278,CD20
CD20_341,108,320,808,0.4349,0.4306,0.3213,0.3867,0.3386,0.4185,CD20
CD20_342,117,341,772,0.2659,0.2873,0.2164,0.2637,0.2619,0.2746,CD20
CD20_343,113,615,190,0.3912,0.416,0.3815,0.397,0.2764,0.2663,CD20
CD20_344,109,660,118,0.4282,0.4296,0.3025,0.42,0.3355,0.4439,CD20
CD20_345,110,228,846,0.4331,0.4267,0.2909,0.3228,0.3546,0.4354,CD20
CD20_346,110,240,933,0.3317,0.3501,0.2938,0.3451,0.3606,0.3645,CD20
CD20_347,110,261,763,0.3615,0.4832,0.4144,0.3313,0.384,0.3803,CD20
CD20_348,110,278,760,0.403,0.4424,0.213,0.3638,0.2952,0.3103,CD20
CD20_349,112,535,332,0.3393,0.36,0.2853,0.2948,0.3292,0.4225,CD20
CD20_35,69,245,676,0.4474,0.4827,0.3289,0.3224,0.308,0.4515,CD20
CD20_350,110,561,262,0.3929,0.4789,0.2882,0.3592,0.3946,0.6075,CD20
CD20_351,109,618,131,0.3307,0.5336,0.3652,0.2739,0.2523,0.5175,CD20
CD20_352,111,290,927,0.3305,0.5528,0.3337,0.3135,0.3671,0.6707,CD20
CD20_353,111,316,884,0.4616,0.4392,0.3482,0.3431,0.3371,0.405,CD20
CD20_354,120,573,307,0.2686,0.315,0.2136,0.238,0.259,0.2789,CD20
CD20_355,113,668,126,0.3479,0.4108,0.3257,0.2475,0.3073,0.5069,CD20
CD20_356,112,153,1137,0.3607,0.3731,0.3171,0.3954,0.3985,0.5289,CD20
CD20_357,114,176,1085,0.3593,0.4054,0.2608,0.4092,0.2965,0.2678,CD20
CD20_358,119,312,768,0.3454,0.3936,0.2927,0.2782,0.287,0.2604,CD20
CD20_359,113,577,343,0.4258,0.3751,0.3326,0.2995,0.3758,0.3922,CD20
CD20_36,73,199,1299,0.3303,0.3902,0.3022,0.3914,0.5126,0.3287,CD20
CD20_360,113,616,137,0.3564,0.4555,0.2767,0.453,0.4792,0.4555,CD20
CD20_361,115,316,742,0.3186,0.5138,0.3531,0.3966,0.3695,0.5384,CD20
CD20_362,117,597,125,0.3353,0.3225,0.227,0.3966,0.3131,0.3204,CD20
CD20_363,114,607,199,0.35,0.4178,0.3421,0.3723,0.4767,0.2996,CD20
CD20_364,113,613,120,0.3607,0.57,0.2173,0.3638,0.422,0.4316,CD20
CD20_365,116,555,361,0.3179,0.5023,0.3207,0.4342,0.32,0.3307,CD20
CD20_366,121,584,89,0.2887,0.4596,0.2192,0.3788,0.2932,0.3755,CD20
CD20_367,115,618,129,0.385,0.4392,0.3657,0.3674,0.3382,0.3788,CD20
CD20_368,116,256,1046,0.2891,0.6132,0.3706,0.3665,0.3046,0.3433,CD20
CD20_369,118,644,175,0.3144,0.3838,0.3049,0.3044,0.4094,0.4727,CD20
CD20_37,69,310,649,0.4191,0.403,0.2133,0.3221,0.3932,0.4024,CD20
CD20_370,116,165,974,0.4621,0.4416,0.2782,0.3853,0.2783,0.4363,CD20
CD20_371,119,273,1057,0.4165,0.3917,0.2862,0.4803,0.3136,0.4652,CD20
CD20_372,119,339,739,0.2225,0.438,0.2897,0.2844,0.3235,0.3112,CD20
CD20_373,117,553,364,0.3371,0.4622,0.3184,0.3473,0.3912,0.4533,CD20
CD20_374,116,559,277,0.3593,0.4152,0.2075,0.2953,0.3076,0.3983,CD20
CD20_375,117,579,161,0.409,0.454,0.339,0.376,0.4018,0.5181,CD20
CD20_376,118,608,124,0.3796,0.3923,0.3277,0.3212,0.3774,0.2856,CD20
CD20_377,122,239,987,0.3335,0.4435,0.281,0.2621,0.2577,0.3008,CD20
CD20_378,120,458,383,0.3735,0.52,0.2749,0.3216,0.3621,0.5099,CD20
CD20_379,118,587,173,0.3607,0.5043,0.3171,0.3009,0.3299,0.2538,CD20
CD20_38,73,70,1227,0.3891,0.448,0.2187,0.358,0.3093,0.3118,CD20
CD20_380,119,627,47,0.395,0.3654,0.3344,0.3005,0.2986,0.3543,CD20
CD20_381,126,626,159,0.2549,0.4362,0.2539,0.2751,0.3035,0.2681,CD20
CD20_382,121,536,203,0.3858,0.4496,0.3482,0.4409,0.4412,0.503,CD20
CD20_383,120,128,1143,0.3103,0.4666,0.3195,0.3309,0.2913,0.2693,CD20
CD20_384,120,238,833,0.3639,0.4401,0.232,0.3563,0.3293,0.4733,CD20
CD20_385,120,269,672,0.3111,0.5171,0.3411,0.3504,0.3625,0.4252,CD20
CD20_386,120,286,888,0.4372,0.4119,0.3023,0.4174,0.2392,0.3977,CD20
CD20_387,121,337,766,0.3141,0.5363,0.2497,0.284,0.3702,0.3314,CD20
CD20_388,123,568,308,0.4021,0.4308,0.297,0.3584,0.345,0.5014,CD20
CD20_389,120,583,174,0.2903,0.5549,0.3006,0.3303,0.354,0.4062,CD20
CD20_39,77,173,1036,0.279,0.3693,0.2808,0.3447,0.3205,0.325,CD20
CD20_390,122,625,155,0.3666,0.565,0.2393,0.333,0.328,0.4103,CD20
CD20_391,123,634,143,0.2395,0.4003,0.2282,0.2975,0.405,0.336,CD20
CD20_392,122,99,1224,0.3553,0.5073,0.3026,0.3042,0.3357,0.4706,CD20
CD20_393,124,306,783,0.4144,0.4484,0.3759,0.3255,0.3171,0.4989,CD20
CD20_394,123,607,198,0.4362,0.4916,0.3007,0.2945,0.4648,0.3188,CD20
CD20_395,123,424,488,0.3942,0.425,0.2756,0.3542,0.317,0.5774,CD20
CD20_396,124,128,1141,0.3503,0.4047,0.288,0.3008,0.2719,0.3143,CD20
CD20_397,130,467,374,0.3335,0.4084,0.2357,0.261,0.2576,0.384,CD20
CD20_398,125,517,247,0.4058,0.4302,0.2399,0.2585,0.3733,0.292,CD20
CD20_399,126,618,136,0.3532,0.52,0.3389,0.275,0.4368,0.4192,CD20
CD20_4,55,180,1231,0.3178,0.3018,0.3062,0.244,0.3448,0.3568,CD20
CD20_40,75,194,1204,0.3221,0.3678,0.2984,0.3384,0.3439,0.3373,CD20
CD20_400,129,359,751,0.3645,0.4007,0.3551,0.3031,0.3074,0.499,CD20
CD20_401,131,538,330,0.2724,0.3681,0.2409,0.2435,0.3068,0.3188,CD20
CD20_402,126,654,162,0.3079,0.588,0.2974,0.3784,0.3373,0.4253,CD20
CD20_403,128,655,49,0.4005,0.4247,0.3072,0.3149,0.4942,0.4333,CD20
CD20_404,133,614,188,0.2999,0.2967,0.2452,0.2581,0.3336,0.2757,CD20
CD20_405,134,563,337,0.3153,0.3858,0.2591,0.2588,0.2399,0.3424,CD20
CD20_406,129,575,264,0.3931,0.5091,0.238,0.3054,0.3119,0.3265,CD20
CD20_407,129,649,162,0.3606,0.4525,0.3089,0.3561,0.341,0.466,CD20
CD20_408,133,515,329,0.4108,0.4441,0.2294,0.434,0.3124,0.4509,CD20
CD20_409,129,608,59,0.3481,0.5224,0.3384,0.3544,0.2418,0.2904,CD20
CD20_41,85,287,788,0.2757,0.3619,0.2331,0.3098,0.2917,0.4686,CD20
CD20_410,130,306,786,0.3265,0.4427,0.3467,0.3366,0.3902,0.3011,CD20
CD20_411,131,639,149,0.3768,0.3421,0.2875,0.3721,0.3164,0.4066,CD20
CD20_412,131,332,626,0.3564,0.4886,0.3449,0.3268,0.4135,0.4356,CD20
CD20_413,134,554,330,0.3304,0.3592,0.2769,0.2805,0.3301,0.3302,CD20
CD20_414,135,342,772,0.3064,0.491,0.3291,0.3385,0.3402,0.6757,CD20
CD20_415,134,585,195,0.4763,0.5037,0.3109,0.3005,0.4773,0.4769,CD20
CD20_416,134,609,224,0.3677,0.4435,0.3431,0.3737,0.4385,0.4369,CD20
CD20_417,133,338,765,0.3455,0.4499,0.2747,0.2623,0.3817,0.5045,CD20
CD20_418,136,311,769,0.3319,0.437,0.3015,0.3547,0.3387,0.3672,CD20
CD20_419,136,347,770,0.3388,0.4007,0.3328,0.3492,0.276,0.6011,CD20
CD20_42,70,416,547,0.4267,0.4534,0.2995,0.2567,0.3543,0.3177,CD20
CD20_420,137,580,220,0.4722,0.4528,0.2748,0.3809,0.42,0.3745,CD20
CD20_421,135,550,329,0.4273,0.5337,0.352,0.2837,0.4087,0.4105,CD20
CD20_422,135,651,140,0.3217,0.4086,0.3991,0.3731,0.3732,0.4308,CD20
CD20_423,139,579,311,0.3546,0.4881,0.2705,0.2594,0.4345,0.3883,CD20
CD20_424,139,537,202,0.4962,0.3831,0.2443,0.3584,0.4323,0.4849,CD20
CD20_425,142,542,329,0.2523,0.3548,0.2594,0.3085,0.2746,0.2577,CD20
CD20_426,138,548,331,0.3242,0.4883,0.4384,0.2593,0.3892,0.4198,CD20
CD20_427,139,677,85,0.3864,0.483,0.3682,0.4308,0.5123,0.3683,CD20
CD20_428,141,561,332,0.4846,0.39,0.3164,0.3263,0.3554,0.48,CD20
CD20_429,143,564,280,0.3323,0.4213,0.2749,0.3081,0.3194,0.2672,CD20
CD20_43,76,617,345,0.3634,0.552,0.2187,0.4786,0.311,0.4384,CD20
CD20_430,141,644,185,0.3057,0.4502,0.2669,0.3037,0.3427,0.4394,CD20
CD20_431,146,494,7,0.4311,0.9766,0.0,0.5011,0.3764,0.0,CD20
CD20_432,144,606,227,0.3467,0.3751,0.3001,0.3542,0.3518,0.3623,CD20
CD20_433,150,634,146,0.3858,0.3654,0.2899,0.3908,0.2868,0.2617,CD20
CD20_434,147,621,139,0.4808,0.4697,0.2483,0.3573,0.3219,0.442,CD20
CD20_435,147,616,138,0.4936,0.543,0.3003,0.3775,0.3444,0.4224,CD20
CD20_436,146,631,145,0.3676,0.4172,0.2227,0.3146,0.3131,0.3665,CD20
CD20_437,153,82,616,0.4019,0.9654,0.3667,0.5928,0.5165,0.0,CD20
CD20_438,150,537,204,0.3374,0.4483,0.3334,0.3191,0.4481,0.5179,CD20
CD20_439,152,440,453,0.317,0.5488,0.2751,0.3304,0.3615,0.3711,CD20
CD20_44,73,94,1244,0.4471,0.4196,0.3567,0.3598,0.3262,0.2942,CD20
CD20_440,159,617,178,0.3325,0.4249,0.2629,0.3056,0.3351,0.3852,CD20
CD20_441,166,656,94,0.3716,0.3779,0.3327,0.3584,0.3911,0.4799,CD20
CD20_45,80,142,1109,0.2602,0.3334,0.2156,0.2491,0.2705,0.2986,CD20
CD20_46,74,153,1247,1.0,0.4847,0.2735,0.3014,0.4381,0.3662,CD20
CD20_47,73,161,1259,0.4067,0.4878,0.3297,0.3218,0.348,0.5038,CD20
CD20_48,72,288,1029,0.3935,0.4498,0.2318,0.3358,0.5054,0.4562,CD20
CD20_49,73,112,1334,0.3692,0.5105,0.24,0.3385,0.3065,0.3506,CD20
CD20_5,65,624,51,0.2716,0.2858,0.1989,0.2178,0.2736,0.4391,CD20
CD20_50,76,136,1092,0.3208,0.3411,0.245,0.3045,0.2237,0.4944,CD20
CD20_51,73,157,1035,0.3682,0.4407,0.262,0.4017,0.6905,0.4827,CD20
CD20_52,77,163,1288,0.3849,0.3879,0.3228,0.3078,0.3598,0.757,CD20
CD20_53,79,171,1099,0.2842,0.3619,0.263,0.2579,0.2688,0.413,CD20
CD20_54,75,211,1252,0.4013,0.5297,0.3271,0.3714,0.3673,0.4626,CD20
CD20_55,74,312,638,0.3902,0.4377,0.2956,0.3482,0.3258,0.3574,CD20
CD20_56,72,324,611,0.3328,0.3846,0.313,0.3888,0.3562,0.4323,CD20
CD20_57,75,425,542,0.476,0.4836,0.3712,0.3962,0.5424,0.5347,CD20
CD20_58,75,686,72,0.0,0.5241,0.0,0.5546,0.0,0.8218,CD20
CD20_59,75,70,1233,0.4081,0.5097,0.2267,0.3361,0.3245,0.3301,CD20
CD20_6,56,107,1285,0.3633,0.4949,0.2831,0.5036,0.377,0.4096,CD20
CD20_60,75,115,1339,0.7211,0.456,0.3572,0.3622,0.3156,0.3684,CD20
CD20_61,76,290,651,0.5358,0.5556,0.2477,0.3719,0.4207,0.3855,CD20
CD20_62,74,348,925,0.3844,0.454,0.2333,0.3536,0.375,0.6789,CD20
CD20_63,75,389,611,0.4861,0.5078,0.322,0.4758,0.6181,0.4121,CD20
CD20_64,87,665,41,0.2672,0.3526,0.2129,0.2562,0.2752,0.3926,CD20
CD20_65,82,131,1177,0.3435,0.3432,0.2514,0.3102,0.2414,0.4586,CD20
CD20_66,82,133,1106,0.2965,0.3785,0.24,0.21,0.2725,0.32,CD20
CD20_67,75,165,1328,0.4059,0.5374,0.2767,0.3642,0.2998,0.332,CD20
CD20_68,88,170,1228,0.3449,0.3246,0.2005,0.2843,0.2552,0.3439,CD20
CD20_69,81,300,707,0.3025,0.4222,0.2631,0.313,0.3633,0.3853,CD20
CD20_7,61,58,1300,0.3903,0.4083,0.2432,0.3562,0.331,0.3262,CD20
CD20_70,76,431,334,0.524,0.4253,0.2786,0.3647,0.3496,0.2862,CD20
CD20_71,78,673,460,0.3628,0.4469,0.2916,0.3276,0.2799,0.4362,CD20
CD20_72,79,176,994,0.3615,0.3812,0.2786,0.349,0.3021,0.247,CD20
CD20_73,90,258,1104,0.2643,0.3384,0.1979,0.2722,0.2743,0.5343,CD20
CD20_74,77,440,455,0.531,0.5017,0.3026,0.2692,0.2786,0.4372,CD20
CD20_75,77,672,75,0.3831,0.5461,0.2265,0.5178,0.3194,0.2679,CD20
CD20_76,76,675,62,0.483,0.5674,0.3732,0.4664,0.4158,0.5091,CD20
CD20_77,82,118,1277,0.2518,0.351,0.1881,0.269,0.2811,0.3134,CD20
CD20_78,76,170,1246,0.4283,0.4185,0.3015,0.5175,0.2902,0.5215,CD20
CD20_79,76,213,1180,0.4785,0.4358,0.318,0.3818,0.367,0.4206,CD20
CD20_8,61,118,1276,0.4038,0.4572,0.3507,0.361,0.2913,0.3622,CD20
CD20_80,77,215,1333,0.449,0.3672,0.3405,0.2847,0.2865,0.3136,CD20
CD20_81,80,269,817,0.267,0.4732,0.2554,0.3599,0.2549,0.3626,CD20
