cell_id,z,y,x,CD31,CD20,CD11b,CD4,CD11c,Catalase,marker
CD31_40,72,123,1159,0.412,0.4663,0.386,0.3362,0.3152,0.6463,CD31
CD31_41,72,148,1039,0.5138,0.5969,0.2461,0.3069,0.3699,0.4276,CD31
CD31_42,71,267,708,0.3913,0.6266,0.3634,0.3078,0.3343,0.3745,CD31
CD31_43,80,313,1031,0.3626,0.3427,0.2842,0.2678,0.3369,0.2923,CD31
CD31_44,78,322,648,0.3558,0.4003,0.2621,0.2179,0.3826,0.306,CD31
CD31_45,73,347,836,0.4321,0.4809,0.3291,0.3506,0.5035,0.4198,CD31
CD31_46,84,348,850,0.3107,0.421,0.2283,0.1899,0.2511,0.2798,CD31
CD31_47,71,363,892,0.4577,0.4777,0.299,0.3431,0.4787,0.391,CD31
CD31_48,73,418,516,0.414,0.5146,0.3454,0.3635,0.408,0.5487,CD31
CD31_49,73,139,1132,0.5266,0.4279,0.2959,0.3257,0.3792,0.328,CD31
CD31_5,73,354,865,0.2737,0.3153,0.1418,0.1998,0.2645,0.2778,CD31
CD31_50,81,250,854,0.2758,0.3018,0.1882,0.2059,0.2776,0.4122,CD31
CD31_51,79,459,600,0.4117,0.4536,0.6282,0.3157,0.3515,0.4295,CD31
CD31_52,87,228,941,0.2801,0.3603,0.224,0.2269,0.2589,0.3365,CD31
CD31_53,75,235,938,0.3631,0.5698,0.3247,0.4425,0.3535,0.4449,CD31
CD31_54,74,237,1230,0.4231,0.4155,0.402,0.3957,0.5281,0.4348,CD31
CD31_55,81,246,835,0.2818,0.2703,0.2582,0.2446,0.2844,0.3467,CD31
CD31_56,76,266,1132,0.381,0.2878,0.3243,0.2576,0.3771,0.4978,CD31
CD31_57,88,286,820,0.3794,0.2836,0.3226,0.2642,0.2383,0.3066,CD31
CD31_58,73,418,521,0.3414,0.3785,0.239,0.389,0.3715,0.2937,CD31
CD31_59,73,148,1242,0.4215,0.5978,0.244,0.337,0.3625,0.6257,CD31
CD31_6,69,138,1300,0.2909,0.2579,0.235,0.1921,0.2093,0.2954,CD31
CD31_60,76,149,1234,0.3505,0.4167,0.3271,0.2971,0.298,0.4388,CD31
CD31_61,75,319,742,0.5408,0.379,0.3799,0.3261,0.4633,0.5143,CD31
CD31_62,75,355,801,0.4139,0.4972,0.2842,0.2528,0.4776,0.3959,CD31
CD31_63,79,409,507,0.3029,0.3874,0.2941,0.3288,0.2524,0.6176,CD31
CD31_64,80,159,985,0.467,0.3595,0.2758,0.3262,0.338,0.3344,CD31
CD31_65,77,207,1173,0.4108,0.5196,0.336,0.3396,0.429,0.3602,CD31
